X,Y,tld,domain,lat,lon
13.352351,52.602164,berlin,auto-handel24,52.602164,13.352351
13.344682,52.602137,berlin,lowshooter,52.602137,13.344682
13.344682,52.602137,berlin,ferienwohnung-bei-karin,52.602137,13.344682
13.344682,52.602137,berlin,cameraseat,52.602137,13.344682
13.344682,52.602137,berlin,orbiter,52.602137,13.344682
13.35052,52.601902,berlin,zuckerwatte,52.601902,13.35052
13.342423,52.601747,berlin,boehmer,52.601747,13.342423
13.333663,52.601041,berlin,freibaeder,52.601041,13.333663
13.333663,52.601041,berlin,verkaufsoffen,52.601041,13.333663
13.333663,52.601041,berlin,sonntagsverkauf,52.601041,13.333663
13.360846,52.600908,berlin,gromada,52.600908,13.360846
13.324725,52.599699,berlin,nippe,52.599699,13.324725
13.331608,52.599699,berlin,autoverwerter,52.599699,13.331608
13.331608,52.599699,berlin,gebrauchte-autoersatzteile,52.599699,13.331608
13.331608,52.599699,berlin,ferienhaus-berlin,52.599699,13.331608
13.402303,52.599663,berlin,laerchenbad,52.599663,13.402303
13.333042,52.599658,berlin,verkehrs-medizin,52.599658,13.333042
13.37881,52.599599,berlin,terrazzo-betonwerkstein,52.599599,13.37881
13.323607,52.599468,berlin,collonil,52.599468,13.323607
13.332456,52.599307,berlin,ezigarette-shop,52.599307,13.332456
13.378323,52.599271,berlin,autoteilestreck,52.599271,13.378323
13.378323,52.599271,berlin,wohne-in,52.599271,13.378323
13.378323,52.599271,berlin,parkplatzsysteme,52.599271,13.378323
13.378323,52.599271,berlin,ichwohnein,52.599271,13.378323
13.34008,52.598872,berlin,kalz,52.598872,13.34008
13.376654,52.598701,berlin,naffin,52.598701,13.376654
13.3766536,52.5987006,berlin,metalldesign,52.5987006,13.3766536
13.361251,52.598349,berlin,jennys-fundgrube,52.598349,13.361251
13.346715,52.598141,berlin,ingress,52.598141,13.346715
13.35511,52.598,berlin,praxis-kutscha,52.598,13.35511
13.356953,52.597846,berlin,goldrider,52.597846,13.356953
13.358697,52.597722,berlin,optoinspect,52.597722,13.358697
13.358697,52.597722,berlin,bcmv,52.597722,13.358697
13.358697,52.597722,berlin,jetro,52.597722,13.358697
13.358697,52.597722,berlin,tbtv,52.597722,13.358697
13.358697,52.597722,berlin,ergotherapie-zentrum,52.597722,13.358697
13.358697,52.597722,berlin,ortholive,52.597722,13.358697
13.331991,52.597327,berlin,wachstum-wagen,52.597327,13.331991
13.377251,52.596999,berlin,degreif,52.596999,13.377251
13.353274,52.596958,berlin,nachhaltig-wohnen,52.596958,13.353274
13.353274,52.596958,berlin,gesobau,52.596958,13.353274
13.353274,52.596958,berlin,gesobau-ag,52.596958,13.353274
13.353274,52.596958,berlin,xn--mrkischesviertel-vnb,52.596958,13.353274
13.353274,52.596958,berlin,seniorenwohnung,52.596958,13.353274
13.353274,52.596958,berlin,wohnungswechsel,52.596958,13.353274
13.353274,52.596958,berlin,modernisiert-wohnen,52.596958,13.353274
13.353274,52.596958,berlin,gesobaut,52.596958,13.353274
13.353274,52.596958,berlin,tolle-bude,52.596958,13.353274
13.353274,52.596958,berlin,xn--mrkisches-viertel-qqb,52.596958,13.353274
13.353274,52.596958,berlin,mietwohnung-suchen,52.596958,13.353274
13.353274,52.596958,berlin,studi-wohnen,52.596958,13.353274
13.353274,52.596958,berlin,studenten-wohnung,52.596958,13.353274
13.353274,52.596958,berlin,gesoabu,52.596958,13.353274
13.353274,52.596958,berlin,hallonachbar,52.596958,13.353274
13.353274,52.596958,berlin,aktiva,52.596958,13.353274
13.318541,52.596908,berlin,rosinsky,52.596908,13.318541
13.318541,52.596908,berlin,einkaufengehen,52.596908,13.318541
13.318541,52.596908,berlin,3d-druck-service,52.596908,13.318541
13.318541,52.596908,berlin,kurier-service,52.596908,13.318541
13.392308,52.596851,berlin,equadrat,52.596851,13.392308
13.349063,52.596729,berlin,a-r-a-l,52.596729,13.349063
13.3533579,52.5966944,berlin,nachhaltigwohnen,52.5966944,13.3533579
13.3533579,52.5966944,berlin,wohnungsneubau,52.5966944,13.3533579
13.357664,52.596472,berlin,helbig,52.596472,13.357664
13.355547,52.596299,berlin,perlenketten,52.596299,13.355547
13.379116,52.596262,berlin,willers,52.596262,13.379116
13.386708,52.596129,berlin,niemann,52.596129,13.386708
13.342199,52.596122,berlin,diabetesnetz,52.596122,13.342199
13.397994,52.595898,berlin,ichduwir,52.595898,13.397994
13.396276,52.595879,berlin,straight-berlin,52.595879,13.396276
13.396276,52.595879,berlin,vertriebspartner-vodafone,52.595879,13.396276
13.396276,52.595879,berlin,vertriebspartner-kabeldeutschland,52.595879,13.396276
13.396276,52.595879,berlin,vertrieb-partner,52.595879,13.396276
13.345372,52.595874,berlin,ogloszenia,52.595874,13.345372
13.375531,52.595737,berlin,steinbeisser,52.595737,13.375531
13.312188,52.595524,berlin,pbecker,52.595524,13.312188
13.3642,52.595482,berlin,reifenfutzi,52.595482,13.3642
13.416281,52.595416,berlin,tretbootevermietung,52.595416,13.416281
13.416281,52.595416,berlin,polente,52.595416,13.416281
13.416281,52.595416,berlin,bbq,52.595416,13.416281
13.416281,52.595416,berlin,motorbootevermietung,52.595416,13.416281
13.416281,52.595416,berlin,bbq-boot,52.595416,13.416281
13.416281,52.595416,berlin,xexun,52.595416,13.416281
13.416281,52.595416,berlin,ortungsgeraet,52.595416,13.416281
13.416281,52.595416,berlin,peilsender,52.595416,13.416281
13.416281,52.595416,berlin,bbq-donut,52.595416,13.416281
13.416281,52.595416,berlin,jetlev-flyer,52.595416,13.416281
13.416281,52.595416,berlin,feldjaeger,52.595416,13.416281
13.416281,52.595416,berlin,pozilei,52.595416,13.416281
13.416281,52.595416,berlin,tegelersee,52.595416,13.416281
13.416281,52.595416,berlin,tegeler-see,52.595416,13.416281
13.416281,52.595416,berlin,tretbootvermietung,52.595416,13.416281
13.416281,52.595416,berlin,bootvermietung,52.595416,13.416281
13.416281,52.595416,berlin,grilldonut,52.595416,13.416281
13.416281,52.595416,berlin,bootevermietung,52.595416,13.416281
13.416281,52.595416,berlin,grill-donut,52.595416,13.416281
13.416281,52.595416,berlin,bbqboot,52.595416,13.416281
13.416281,52.595416,berlin,rico,52.595416,13.416281
13.416281,52.595416,berlin,bbqdonut,52.595416,13.416281
13.3367639,52.59518,berlin,iworx,52.59518,13.3367639
13.333372,52.59518,berlin,scheidung-in,52.59518,13.333372
13.333372,52.59518,berlin,scheidunginreinickendorf,52.59518,13.333372
13.333372,52.59518,berlin,verkehrsrechtinreinickendorf,52.59518,13.333372
13.333372,52.59518,berlin,familienrecht-reinickendorf,52.59518,13.333372
13.333372,52.59518,berlin,uro,52.59518,13.333372
13.392248,52.595069,berlin,andragon,52.595069,13.392248
13.400105,52.594929,berlin,berlinversichert,52.594929,13.400105
13.400105,52.594929,berlin,habrich,52.594929,13.400105
13.33284,52.594634,berlin,itn,52.594634,13.33284
13.33284,52.594634,berlin,oralchirurgie-implantologie,52.594634,13.33284
13.33284,52.594634,berlin,dvt,52.594634,13.33284
13.346027,52.594527,berlin,russische-botschaft,52.594527,13.346027
13.346027,52.594527,berlin,detail,52.594527,13.346027
13.346027,52.594527,berlin,opel,52.594527,13.346027
13.346027,52.594527,berlin,free-lance,52.594527,13.346027
13.346027,52.594527,berlin,militaria,52.594527,13.346027
13.346027,52.594527,berlin,mps,52.594527,13.346027
13.346027,52.594527,berlin,kfzteile,52.594527,13.346027
13.346027,52.594527,berlin,ritz,52.594527,13.346027
13.346027,52.594527,berlin,limos,52.594527,13.346027
13.346027,52.594527,berlin,nespresso,52.594527,13.346027
13.346027,52.594527,berlin,westingrand,52.594527,13.346027
13.346027,52.594527,berlin,nokia,52.594527,13.346027
13.346027,52.594527,berlin,freelance,52.594527,13.346027
13.346027,52.594527,berlin,arthur,52.594527,13.346027
13.346027,52.594527,berlin,audi,52.594527,13.346027
13.397393,52.594481,berlin,vanaaken,52.594481,13.397393
13.3151815,52.5944151,berlin,tatuki,52.5944151,13.3151815
13.3408542,52.5942565,berlin,cityhostel,52.5942565,13.3408542
13.3408542,52.5942565,berlin,architektenbuero,52.5942565,13.3408542
13.3408542,52.5942565,berlin,leds,52.5942565,13.3408542
13.353452,52.594231,berlin,gania,52.594231,13.353452
13.3999107,52.5942108,berlin,yoga4all,52.5942108,13.3999107
13.3526137,52.5939443,berlin,direktvermarkter,52.5939443,13.3526137
13.3526137,52.5939443,berlin,direktversand,52.5939443,13.3526137
13.352614,52.593944,berlin,ihre-domain,52.593944,13.352614
13.352614,52.593944,berlin,businesspartner,52.593944,13.352614
13.352614,52.593944,berlin,creativmedia,52.593944,13.352614
13.352614,52.593944,berlin,meister,52.593944,13.352614
13.352614,52.593944,berlin,souvenirshop,52.593944,13.352614
13.352614,52.593944,berlin,shoppingmeile,52.593944,13.352614
13.352614,52.593944,berlin,domain-handel,52.593944,13.352614
13.352614,52.593944,berlin,yogaspace,52.593944,13.352614
13.352614,52.593944,berlin,yoga-studio,52.593944,13.352614
13.352614,52.593944,berlin,businesschannel,52.593944,13.352614
13.352614,52.593944,berlin,usetree,52.593944,13.352614
13.352614,52.593944,berlin,direktversanddirektverkauf,52.593944,13.352614
13.352614,52.593944,berlin,tv-service,52.593944,13.352614
13.352614,52.593944,berlin,hidden-champions,52.593944,13.352614
13.352614,52.593944,berlin,champions,52.593944,13.352614
13.352614,52.593944,berlin,graffity-schutz,52.593944,13.352614
13.352614,52.593944,berlin,berlin-ballooning,52.593944,13.352614
13.352614,52.593944,berlin,web-shop,52.593944,13.352614
13.352614,52.593944,berlin,imbisseinrichtung,52.593944,13.352614
13.352614,52.593944,berlin,xn--edelstahlkchen-psb,52.593944,13.352614
13.352614,52.593944,berlin,startup-portal,52.593944,13.352614
13.352614,52.593944,berlin,shop-service,52.593944,13.352614
13.352614,52.593944,berlin,bauhas,52.593944,13.352614
13.352614,52.593944,berlin,keramikshop,52.593944,13.352614
13.352614,52.593944,berlin,sanieren,52.593944,13.352614
13.352614,52.593944,berlin,tvservice,52.593944,13.352614
13.352614,52.593944,berlin,premiumdomains,52.593944,13.352614
13.352614,52.593944,berlin,yourdomain,52.593944,13.352614
13.352614,52.593944,berlin,harden,52.593944,13.352614
13.352614,52.593944,berlin,creativewebhosting,52.593944,13.352614
13.352614,52.593944,berlin,shopping-world,52.593944,13.352614
13.352614,52.593944,berlin,direktverkauf,52.593944,13.352614
13.352614,52.593944,berlin,xn--sanittsdienst-ffb,52.593944,13.352614
13.359014,52.593493,berlin,maike,52.593493,13.359014
13.397428,52.593424,berlin,sommerlust,52.593424,13.397428
13.397428,52.593424,berlin,stehoff,52.593424,13.397428
