X,Y,tld,domain,lat,lon
-0.121807,51.729739,london,flexistore,51.729739,-0.121807
-0.111984,51.727783,london,homecinemainstallers,51.727783,-0.111984
-0.111984,51.727783,london,hometheatre,51.727783,-0.111984
-0.181593,51.727344,london,giveall,51.727344,-0.181593
-0.176848,51.725445,london,contract,51.725445,-0.176848
-0.200926,51.724368,london,jamesandharry,51.724368,-0.200926
-0.087321,51.723734,london,loftus,51.723734,-0.087321
-0.191343,51.7236,london,kkstudio,51.7236,-0.191343
-0.092526,51.723567,london,albanyradio,51.723567,-0.092526
-0.203858,51.721634,london,chronometrum,51.721634,-0.203858
-0.201827,51.721001,london,londonlondon,51.721001,-0.201827
-0.078603,51.720696,london,cashforcars,51.720696,-0.078603
-0.078603,51.720696,london,tintinglondoncustoms,51.720696,-0.078603
-0.078603,51.720696,london,ibuyanycar,51.720696,-0.078603
-0.078603,51.720696,london,webuyurcar,51.720696,-0.078603
-0.078603,51.720696,london,enhancedigital,51.720696,-0.078603
-0.078603,51.720696,london,tinting,51.720696,-0.078603
-0.078603,51.720696,london,sellingmycar,51.720696,-0.078603
-0.078603,51.720696,london,tlcustoms,51.720696,-0.078603
-0.078603,51.720696,london,wesellanycar,51.720696,-0.078603
-0.182433,51.719408,london,pavlou,51.719408,-0.182433
-0.20152,51.719243,london,gtsu,51.719243,-0.20152
-0.057421,51.719017,london,thestrategicsolution,51.719017,-0.057421
-0.062428,51.718731,london,emergencyplumberlondon,51.718731,-0.062428
-0.062428,51.718731,london,harmer,51.718731,-0.062428
-0.122405,51.716692,london,crowdcube,51.716692,-0.122405
-0.031414,51.716471,london,easyparking,51.716471,-0.031414
-0.031414,51.716471,london,uniquecleaning,51.716471,-0.031414
-0.0306965,51.7147225,london,industrialfurniture,51.7147225,-0.0306965
-0.11807,51.714429,london,sortedfood,51.714429,-0.11807
-0.080889,51.713557,london,mikepiggott,51.713557,-0.080889
-0.092168,51.713139,london,formulafpv,51.713139,-0.092168
-0.053201,51.712095,london,rents,51.712095,-0.053201
-0.079584,51.711891,london,fundamentaltraining,51.711891,-0.079584
-0.041384,51.711548,london,top-escorts,51.711548,-0.041384
-0.056732,51.711101,london,property4sale,51.711101,-0.056732
-0.090131,51.711001,london,city-handyman,51.711001,-0.090131
-0.090131,51.711001,london,cityhandyman,51.711001,-0.090131
-0.043735,51.709734,london,yofam,51.709734,-0.043735
-0.086707,51.708787,london,mrdoff,51.708787,-0.086707
-0.086707,51.708787,london,honeycomb,51.708787,-0.086707
-0.107882,51.708456,london,officespaces,51.708456,-0.107882
-0.077427,51.70815,london,homeruncab,51.70815,-0.077427
-0.055972,51.707914,london,alexanderscaffold,51.707914,-0.055972
-0.0606258,51.7066922,london,thebeach,51.7066922,-0.0606258
-0.0716617,51.7066603,london,floristrycollege,51.7066603,-0.0716617
-0.202984,51.706433,london,containerhire,51.706433,-0.202984
-0.202984,51.706433,london,storagecontainers,51.706433,-0.202984
-0.202984,51.706433,london,shippingcontainers,51.706433,-0.202984
-0.202984,51.706433,london,containerstorage,51.706433,-0.202984
-0.202984,51.706433,london,containerconversions,51.706433,-0.202984
-0.202984,51.706433,london,bellcontainer,51.706433,-0.202984
-0.202984,51.706433,london,containersales,51.706433,-0.202984
-0.030787,51.706236,london,londonlawns,51.706236,-0.030787
-0.030787,51.706236,london,artificialgrass,51.706236,-0.030787
-0.027905,51.705954,london,pinktaxi,51.705954,-0.027905
-0.046954,51.705903,london,rendering,51.705903,-0.046954
-0.063772,51.705903,london,thebeachbrentcross,51.705903,-0.063772
-0.063772,51.705903,london,brentcrossbeach,51.705903,-0.063772
-0.063772,51.705903,london,londonsbeach,51.705903,-0.063772
-0.063772,51.705903,london,brent-cross-beach,51.705903,-0.063772
-0.19173,51.705173,london,floatabulous,51.705173,-0.19173
-0.201972723,51.70456696,london,outline,51.70456696,-0.201972723
-0.201972,51.704565,london,perfecttiling,51.704565,-0.201972
-0.201972,51.704565,london,unigroup,51.704565,-0.201972
-0.201972,51.704565,london,minispares,51.704565,-0.201972
-0.201972,51.704565,london,unigrouprelocation,51.704565,-0.201972
-0.039923,51.70415,london,wmdesignltd,51.70415,-0.039923
-0.1857337,51.7033335,london,thewindowcleaningcompany,51.7033335,-0.1857337
-0.312826,51.703161,london,doggroomingdirectory,51.703161,-0.312826
-0.038776,51.702916,london,saymore,51.702916,-0.038776
-0.178115,51.702211,london,conceptdesign95,51.702211,-0.178115
-0.178115,51.702211,london,lucyanderson,51.702211,-0.178115
-0.178115,51.702211,london,cd95,51.702211,-0.178115
-0.031231,51.701675,london,warmlife,51.701675,-0.031231
-0.031231,51.701675,london,warmlifesolutions,51.701675,-0.031231
-0.029631,51.70154,london,wildpicnic,51.70154,-0.029631
-0.025118,51.701483,london,cakepops,51.701483,-0.025118
-0.025118,51.701483,london,deliciouscakepopcompany,51.701483,-0.025118
-0.203672,51.701111,london,firstaidsupplies,51.701111,-0.203672
-0.207547,51.700478,london,designbuild,51.700478,-0.207547
-0.207547,51.700478,london,planningapproval,51.700478,-0.207547
-0.04182,51.700449,london,hirekaraoke,51.700449,-0.04182
-0.188412,51.700212,london,expressdoctor,51.700212,-0.188412
-0.168625,51.699959,london,sciencetutor,51.699959,-0.168625
-0.054319,51.699542,london,freshfashion,51.699542,-0.054319
-0.194045,51.699372,london,protech,51.699372,-0.194045
-0.194045,51.699372,london,protec,51.699372,-0.194045
-0.170138,51.698679,london,roofracks,51.698679,-0.170138
-0.170138,51.698679,london,rhinoroofracks,51.698679,-0.170138
-0.035873,51.698417,london,perfectcleaning,51.698417,-0.035873
-0.321397,51.698392,london,kwhitearboriculture,51.698392,-0.321397
-0.321397,51.698392,london,knotweed-removal,51.698392,-0.321397
-0.321397,51.698392,london,pelorus,51.698392,-0.321397
-0.321397,51.698392,london,treeworks,51.698392,-0.321397
-0.175134,51.698244,london,expertit,51.698244,-0.175134
-0.19614,51.69802,london,flatrental,51.69802,-0.19614
-0.19614,51.69802,london,flatsharing,51.69802,-0.19614
