X,Y,X,Y,tld,domain,lat,lon,hex_id
-0.121807,51.729739,-0.1218070000,51.7297390000,london,flexistore,51.7297390000,-0.1218070000,0
-0.111984,51.727783,-0.1119840000,51.7277830000,london,homecinemainstallers,51.7277830000,-0.1119840000,4481
-0.111984,51.727783,-0.1119840000,51.7277830000,london,hometheatre,51.7277830000,-0.1119840000,4481
-0.181593,51.727344,-0.1815930000,51.7273440000,london,giveall,51.7273440000,-0.1815930000,0
-0.176848,51.725445,-0.1768480000,51.7254450000,london,contract,51.7254450000,-0.1768480000,3817
-0.200926,51.724368,-0.2009260000,51.7243680000,london,jamesandharry,51.7243680000,-0.2009260000,3568
-0.087321,51.723734,-0.0873210000,51.7237340000,london,loftus,51.7237340000,-0.0873210000,4812
-0.191343,51.7236,-0.1913430000,51.7236000000,london,kkstudio,51.7236000000,-0.1913430000,3650
-0.092526,51.723567,-0.0925260000,51.7235670000,london,albanyradio,51.7235670000,-0.0925260000,4730
-0.203858,51.721634,-0.2038580000,51.7216340000,london,chronometrum,51.7216340000,-0.2038580000,3484
-0.201827,51.721001,-0.2018270000,51.7210010000,london,londonlondon,51.7210010000,-0.2018270000,3484
-0.078603,51.720696,-0.0786030000,51.7206960000,london,cashforcars,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,tintinglondoncustoms,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,ibuyanycar,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,webuyurcar,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,enhancedigital,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,tinting,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,sellingmycar,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,tlcustoms,51.7206960000,-0.0786030000,4895
-0.078603,51.720696,-0.0786030000,51.7206960000,london,wesellanycar,51.7206960000,-0.0786030000,4895
-0.182433,51.719408,-0.1824330000,51.7194080000,london,pavlou,51.7194080000,-0.1824330000,3733
-0.20152,51.719243,-0.2015200000,51.7192430000,london,gtsu,51.7192430000,-0.2015200000,3567
-0.057421,51.719017,-0.0574210000,51.7190170000,london,thestrategicsolution,51.7190170000,-0.0574210000,5061
-0.062428,51.718731,-0.0624280000,51.7187310000,london,emergencyplumberlondon,51.7187310000,-0.0624280000,5061
-0.062428,51.718731,-0.0624280000,51.7187310000,london,harmer,51.7187310000,-0.0624280000,5061
-0.122405,51.716692,-0.1224050000,51.7166920000,london,crowdcube,51.7166920000,-0.1224050000,4397
-0.031414,51.716471,-0.0314140000,51.7164710000,london,easyparking,51.7164710000,-0.0314140000,5393
-0.031414,51.716471,-0.0314140000,51.7164710000,london,uniquecleaning,51.7164710000,-0.0314140000,5393
-0.0306965,51.7147225,-0.0306965000,51.7147225000,london,industrialfurniture,51.7147225000,-0.0306965000,5392
-0.11807,51.714429,-0.1180700000,51.7144290000,london,sortedfood,51.7144290000,-0.1180700000,4479
-0.080889,51.713557,-0.0808890000,51.7135570000,london,mikepiggott,51.7135570000,-0.0808890000,4894
-0.092168,51.713139,-0.0921680000,51.7131390000,london,formulafpv,51.7131390000,-0.0921680000,4728
-0.053201,51.712095,-0.0532010000,51.7120950000,london,rents,51.7120950000,-0.0532010000,5142
-0.079584,51.711891,-0.0795840000,51.7118910000,london,fundamentaltraining,51.7118910000,-0.0795840000,4894
-0.041384,51.711548,-0.0413840000,51.7115480000,london,top-escorts,51.7115480000,-0.0413840000,5308
-0.056732,51.711101,-0.0567320000,51.7111010000,london,property4sale,51.7111010000,-0.0567320000,5142
-0.090131,51.711001,-0.0901310000,51.7110010000,london,city-handyman,51.7110010000,-0.0901310000,4728
-0.090131,51.711001,-0.0901310000,51.7110010000,london,cityhandyman,51.7110010000,-0.0901310000,4728
-0.043735,51.709734,-0.0437350000,51.7097340000,london,yofam,51.7097340000,-0.0437350000,5225
-0.086707,51.708787,-0.0867070000,51.7087870000,london,mrdoff,51.7087870000,-0.0867070000,4810
-0.086707,51.708787,-0.0867070000,51.7087870000,london,honeycomb,51.7087870000,-0.0867070000,4810
-0.107882,51.708456,-0.1078820000,51.7084560000,london,officespaces,51.7084560000,-0.1078820000,4561
-0.077427,51.70815,-0.0774270000,51.7081500000,london,homeruncab,51.7081500000,-0.0774270000,4893
-0.055972,51.707914,-0.0559720000,51.7079140000,london,alexanderscaffold,51.7079140000,-0.0559720000,5141
-0.0606258,51.7066922,-0.0606258000,51.7066922000,london,thebeach,51.7066922000,-0.0606258000,5059
-0.0716617,51.7066603,-0.0716617000,51.7066603000,london,floristrycollege,51.7066603000,-0.0716617000,4975
-0.202984,51.706433,-0.2029840000,51.7064330000,london,containerhire,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,storagecontainers,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,shippingcontainers,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,containerstorage,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,containerconversions,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,bellcontainer,51.7064330000,-0.2029840000,3481
-0.202984,51.706433,-0.2029840000,51.7064330000,london,containersales,51.7064330000,-0.2029840000,3481
-0.030787,51.706236,-0.0307870000,51.7062360000,london,londonlawns,51.7062360000,-0.0307870000,5391
-0.030787,51.706236,-0.0307870000,51.7062360000,london,artificialgrass,51.7062360000,-0.0307870000,5391
-0.027905,51.705954,-0.0279050000,51.7059540000,london,pinktaxi,51.7059540000,-0.0279050000,5473
-0.046954,51.705903,-0.0469540000,51.7059030000,london,rendering,51.7059030000,-0.0469540000,5225
-0.063772,51.705903,-0.0637720000,51.7059030000,london,thebeachbrentcross,51.7059030000,-0.0637720000,5059
-0.063772,51.705903,-0.0637720000,51.7059030000,london,brentcrossbeach,51.7059030000,-0.0637720000,5059
-0.063772,51.705903,-0.0637720000,51.7059030000,london,londonsbeach,51.7059030000,-0.0637720000,5059
-0.063772,51.705903,-0.0637720000,51.7059030000,london,brent-cross-beach,51.7059030000,-0.0637720000,5059
-0.19173,51.705173,-0.1917300000,51.7051730000,london,floatabulous,51.7051730000,-0.1917300000,3647
-0.201972723,51.70456696,-0.2019727230,51.7045669600,london,outline,51.7045669600,-0.2019727230,3481
-0.201972,51.704565,-0.2019720000,51.7045650000,london,perfecttiling,51.7045650000,-0.2019720000,3481
-0.201972,51.704565,-0.2019720000,51.7045650000,london,unigroup,51.7045650000,-0.2019720000,3481
-0.201972,51.704565,-0.2019720000,51.7045650000,london,minispares,51.7045650000,-0.2019720000,3481
-0.201972,51.704565,-0.2019720000,51.7045650000,london,unigrouprelocation,51.7045650000,-0.2019720000,3481
-0.039923,51.70415,-0.0399230000,51.7041500000,london,wmdesignltd,51.7041500000,-0.0399230000,5307
-0.1857337,51.7033335,-0.1857337000,51.7033335000,london,thewindowcleaningcompany,51.7033335000,-0.1857337000,3730
-0.312826,51.703161,-0.3128260000,51.7031610000,london,doggroomingdirectory,51.7031610000,-0.3128260000,2319
-0.038776,51.702916,-0.0387760000,51.7029160000,london,saymore,51.7029160000,-0.0387760000,5307
-0.178115,51.702211,-0.1781150000,51.7022110000,london,conceptdesign95,51.7022110000,-0.1781150000,3812
-0.178115,51.702211,-0.1781150000,51.7022110000,london,lucyanderson,51.7022110000,-0.1781150000,3812
-0.178115,51.702211,-0.1781150000,51.7022110000,london,cd95,51.7022110000,-0.1781150000,3812
-0.031231,51.701675,-0.0312310000,51.7016750000,london,warmlife,51.7016750000,-0.0312310000,5390
-0.031231,51.701675,-0.0312310000,51.7016750000,london,warmlifesolutions,51.7016750000,-0.0312310000,5390
-0.029631,51.70154,-0.0296310000,51.7015400000,london,wildpicnic,51.7015400000,-0.0296310000,5390
-0.025118,51.701483,-0.0251180000,51.7014830000,london,cakepops,51.7014830000,-0.0251180000,5472
-0.025118,51.701483,-0.0251180000,51.7014830000,london,deliciouscakepopcompany,51.7014830000,-0.0251180000,5472
-0.203672,51.701111,-0.2036720000,51.7011110000,london,firstaidsupplies,51.7011110000,-0.2036720000,3480
-0.207547,51.700478,-0.2075470000,51.7004780000,london,designbuild,51.7004780000,-0.2075470000,3480
-0.207547,51.700478,-0.2075470000,51.7004780000,london,planningapproval,51.7004780000,-0.2075470000,3480
-0.04182,51.700449,-0.0418200000,51.7004490000,london,hirekaraoke,51.7004490000,-0.0418200000,5306
-0.188412,51.700212,-0.1884120000,51.7002120000,london,expressdoctor,51.7002120000,-0.1884120000,3646
-0.168625,51.699959,-0.1686250000,51.6999590000,london,sciencetutor,51.6999590000,-0.1686250000,3896
-0.054319,51.699542,-0.0543190000,51.6995420000,london,freshfashion,51.6995420000,-0.0543190000,5140
-0.194045,51.699372,-0.1940450000,51.6993720000,london,protech,51.6993720000,-0.1940450000,3646
-0.194045,51.699372,-0.1940450000,51.6993720000,london,protec,51.6993720000,-0.1940450000,3646
-0.170138,51.698679,-0.1701380000,51.6986790000,london,roofracks,51.6986790000,-0.1701380000,3895
-0.170138,51.698679,-0.1701380000,51.6986790000,london,rhinoroofracks,51.6986790000,-0.1701380000,3895
-0.035873,51.698417,-0.0358730000,51.6984170000,london,perfectcleaning,51.6984170000,-0.0358730000,5306
-0.321397,51.698392,-0.3213970000,51.6983920000,london,kwhitearboriculture,51.6983920000,-0.3213970000,2235
-0.321397,51.698392,-0.3213970000,51.6983920000,london,knotweed-removal,51.6983920000,-0.3213970000,2235
-0.321397,51.698392,-0.3213970000,51.6983920000,london,pelorus,51.6983920000,-0.3213970000,2235
-0.321397,51.698392,-0.3213970000,51.6983920000,london,treeworks,51.6983920000,-0.3213970000,2235
-0.175134,51.698244,-0.1751340000,51.6982440000,london,expertit,51.6982440000,-0.1751340000,3812
-0.19614,51.69802,-0.1961400000,51.6980200000,london,flatrental,51.6980200000,-0.1961400000,3563
-0.19614,51.69802,-0.1961400000,51.6980200000,london,flatsharing,51.6980200000,-0.1961400000,3563
-0.19614,51.69802,-0.1961400000,51.6980200000,london,lonelyhearts,51.6980200000,-0.1961400000,3563
-0.045816,51.69771,-0.0458160000,51.6977100000,london,marqueecarpets,51.6977100000,-0.0458160000,5223
-0.168925,51.697536,-0.1689250000,51.6975360000,london,tightsandmore,51.6975360000,-0.1689250000,3895
-0.287058,51.69724,-0.2870580000,51.6972400000,london,smilepod,51.6972400000,-0.2870580000,2567
-0.201431,51.69704,-0.2014310000,51.6970400000,london,jdrycleaning,51.6970400000,-0.2014310000,3563
-0.288183,51.696969,-0.2881830000,51.6969690000,london,blockeddrainsnorth,51.6969690000,-0.2881830000,2567
-0.288183,51.696969,-0.2881830000,51.6969690000,london,drainclearance,51.6969690000,-0.2881830000,2567
-0.029515,51.69688,-0.0295150000,51.6968800000,london,ductcleaning,51.6968800000,-0.0295150000,5389
-0.191457,51.696779,-0.1914570000,51.6967790000,london,mainstreet,51.6967790000,-0.1914570000,3645
-0.191457,51.696779,-0.1914570000,51.6967790000,london,raineandco,51.6967790000,-0.1914570000,3645
-0.150764,51.696505,-0.1507640000,51.6965050000,london,windowexchange,51.6965050000,-0.1507640000,4061
-0.199329,51.695308,-0.1993290000,51.6953080000,london,pantelli,51.6953080000,-0.1993290000,3563
-0.179298,51.695089,-0.1792980000,51.6950890000,london,ramada,51.6950890000,-0.1792980000,3811
-0.171179,51.694756,-0.1711790000,51.6947560000,london,lovedon,51.6947560000,-0.1711790000,3895
-0.175651,51.694727,-0.1756510000,51.6947270000,london,thechefspantry,51.6947270000,-0.1756510000,3811
