X,Y,tld,domain,lat,lon
-73.907245,40.876446,nyc,turmeric,40.876446,-73.907245
-73.907245,40.876446,nyc,westayhotel,40.876446,-73.907245
-73.907245,40.876446,nyc,hoverboard,40.876446,-73.907245
-73.907245,40.876446,nyc,westay,40.876446,-73.907245
-73.907245,40.876446,nyc,mascloud,40.876446,-73.907245
-73.907245,40.876446,nyc,mainframe,40.876446,-73.907245
-73.907904,40.875952,nyc,kimmyiv,40.875952,-73.907904
-73.919009,40.872601,nyc,willhughes,40.872601,-73.919009
-73.919009,40.872601,nyc,bigtvonline,40.872601,-73.919009
-73.919009,40.872601,nyc,pattyandpatty,40.872601,-73.919009
-73.919009,40.872601,nyc,bigtv,40.872601,-73.919009
-73.919009,40.872601,nyc,webvideo,40.872601,-73.919009
-73.919283,40.87232,nyc,kayakfishing,40.87232,-73.919283
-73.91268,40.872292,berlin,jeffreypaul,40.872292,-73.91268
-73.91268,40.872292,berlin,jackin,40.872292,-73.91268
-73.91268,40.872292,berlin,hex,40.872292,-73.91268
-73.918041,40.872092,nyc,scottsherman,40.872092,-73.918041
-73.918041,40.872092,nyc,emmagoldmansherman,40.872092,-73.918041
-73.918041,40.872092,nyc,edwardsherman,40.872092,-73.918041
-73.913342,40.871756,london,swoopt,40.871756,-73.913342
-73.918214,40.871714,nyc,startuptour,40.871714,-73.918214
-73.918214,40.871714,nyc,techlunch,40.871714,-73.918214
-73.918214,40.871714,nyc,upstart,40.871714,-73.918214
-73.918214,40.871714,nyc,starts,40.871714,-73.918214
-73.918214,40.871714,nyc,costumegal,40.871714,-73.918214
-73.918214,40.871714,nyc,techwomen,40.871714,-73.918214
-73.918214,40.871714,nyc,womenintech,40.871714,-73.918214
-73.918214,40.871714,nyc,redefiner,40.871714,-73.918214
-73.918214,40.871714,nyc,techtalk,40.871714,-73.918214
-73.918249,40.87168,nyc,ericaalcover,40.87168,-73.918249
-73.911227,40.871655,nyc,godfamilyculture,40.871655,-73.911227
-73.911227,40.871655,nyc,godsofgotham,40.871655,-73.911227
-73.911227,40.871655,nyc,theblackapple,40.871655,-73.911227
-73.919352,40.871616,nyc,walkandroll,40.871616,-73.919352
-73.919352,40.871616,nyc,keefe,40.871616,-73.919352
-73.919352,40.871616,nyc,johnkeefe,40.871616,-73.919352
-73.917009,40.871584,nyc,myamenities,40.871584,-73.917009
-73.917009,40.871584,nyc,myvalet,40.871584,-73.917009
-73.917009,40.871584,nyc,greenapplecleaners,40.871584,-73.917009
-73.917009,40.871584,nyc,organichome,40.871584,-73.917009
-73.917009,40.871584,nyc,mightyhealthy,40.871584,-73.917009
-73.917009,40.871584,nyc,greenhome,40.871584,-73.917009
-73.917009,40.871584,nyc,diamondsupply,40.871584,-73.917009
-73.917009,40.871584,nyc,manners,40.871584,-73.917009
-73.917009,40.871584,nyc,organiccleaners,40.871584,-73.917009
-73.917009,40.871584,nyc,organicdrycleaner,40.871584,-73.917009
-73.917009,40.871584,nyc,amenities,40.871584,-73.917009
-73.917009,40.871584,nyc,diamondsupplyco,40.871584,-73.917009
-73.914009,40.871159,nyc,mycomputerdoctor,40.871159,-73.914009
-73.914009,40.871159,nyc,andyking,40.871159,-73.914009
-73.914009,40.871159,nyc,lucid,40.871159,-73.914009
-73.915746,40.871044,nyc,brooklynoriginal,40.871044,-73.915746
-73.915746,40.871044,nyc,gdc,40.871044,-73.915746
